"rules","support","confidence","lift","count"
"{HarvardX_CB22x_UnitedStates_Bachelor's,} => {HarvardX_CS50x_UnitedStates_Bachelor's,}",0.00106360792492179,0.0769396551724138,3.48512756526595,357
"{HarvardX_CB22x_UnitedStates_Bachelor's,} => {MITx_6.00x_UnitedStates_Bachelor's,}",0.00102487710412632,0.0741379310344828,1.75341012906737,344
"{HarvardX_ER22x_UnitedStates_Bachelor's,} => {HarvardX_CS50x_UnitedStates_Bachelor's,}",0.00112617309697602,0.0624483727077482,2.82871744930576,378
"{HarvardX_CS50x_UnitedStates_Bachelor's,} => {HarvardX_ER22x_UnitedStates_Bachelor's,}",0.00112617309697602,0.0510121457489879,2.82871744930576,378
"{MITx_6.00x_India_Secondary,} => {MITx_6.002x_India_Secondary,}",0.0036258006852376,0.177456984543599,8.69285418302086,1217
"{MITx_6.002x_India_Secondary,} => {MITx_6.00x_India_Secondary,}",0.0036258006852376,0.177612375948628,8.69285418302086,1217
"{MITx_6.002x_India_Bachelor's,} => {MITx_6.00x_India_Bachelor's,}",0.00309250707582303,0.135988471112276,5.84212598602782,1038
"{MITx_6.00x_India_Bachelor's,} => {MITx_6.002x_India_Bachelor's,}",0.00309250707582303,0.132855497248176,5.84212598602782,1038
"{HarvardX_CS50x_UnitedStates_Bachelor's,} => {MITx_6.00x_UnitedStates_Bachelor's,}",0.00364367644868166,0.165047233468286,3.90347406381273,1223
"{MITx_6.00x_UnitedStates_Bachelor's,} => {HarvardX_CS50x_UnitedStates_Bachelor's,}",0.00364367644868166,0.0861753100338219,3.90347406381273,1223
